bear.year,bearID,year.rep,sex,birth.year,age,repro,dN15,dC13,mass,headcirc,capture.date,cortisol.kitcorrected,condition,fYEAR,year,pub.name,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,number.cubs,periodwcubs,cubseparation,cub.age,mother,father,family.group,length.mat.care,n.LMC,litter.size,mean.offspring.condition
W0104_2015,W0104,2014,F,2000,15,WithCubs,4.15,-23.212,83.6,59,4/24/2015,11.16,1.416949153,2014,2015,Abborrgina,s,s,s,3,3,s,3,s,3,s,s,s,3,january-december,no,1,W9909,99X07,13,t,2,3,
W0104_2016,W0104,2015,F,2000,16,WithCubs,4.4,-23.38,102,59,5/2/2016,8.9,1.728813559,2015,2016,Abborrgina,s,s,s,s,3,NA,l,l,l,l,l,l,3,january-may,yes,2,W9909,99X07,13,t,2,3,
W0217_2013,W0217,2012,F,2001,12,WithCubs,4.69,-23.186,79,59,5/15/2013,7.59,1.338983051,2012,2013,Silina,s,s,s,s,s,s,2,s,s,2,s,s,2,january-december,no,1,W9403,unknown,21,t,2,2,0.349178404
W1307_2013,W1307,2012,M,2012,1,WithMother,4.99,-23.536,10,35.5,4/29/2013,12.35,0.281690141,2012,2013,Tunplutten,m,m,m,m,m,m,m,m,m,m,m,m,NA,NA,NA,NA,W0217,unknown,21,t,2,2,0.349178404
W1308_2013,W1308,2012,M,2012,1,WithMother,4.86,-23.426,15,36,4/29/2013,11.34,0.416666667,2012,2013,Pendon,m,m,m,m,m,m,m,m,m,m,m,m,NA,NA,NA,NA,W0217,unknown,21,t,2,2,0.349178404
W0219_2011,W0219,2010,F,2001,10,WithCubs,4.58,-23.37,80,61,4/28/2011,10.76,1.31147541,2010,2011,Ljöra,s,s,s,2,s,s,2,s,s,2,s,s,2,january-december,no,1,W9008,W0202,22,t,2,2,0.33826458
W1113_2011,W1113,2010,M,2010,1,WithMother,5,-23.17,11.4,37,4/28/2011,12.07,0.308108108,2010,2011,Ljöra_k4:2,m,m,m,m,m,m,m,m,m,m,m,m,NA,NA,NA,NA,W0219,unknown,22,t,2,2,0.33826458
W1114_2011,W1114,2010,F,2010,1,WithMother,4.08,-23.26,14,38,4/28/2011,10.81,0.368421053,2010,2011,Ljöra_k4:3,m,m,m,m,m,m,m,m,m,m,m,m,NA,NA,NA,NA,W0219,unknown,22,t,2,2,0.33826458
W0229_2009,W0229,2008,F,1998,11,WithCubs,4.3,-22.754,98,64.5,4/20/2009,16.75,1.519379845,2008,2009,Unna,s,s,s,2,2,s,2,s,s,2,s,s,2,january-december,no,1,unknown,unknown,24,t,2,2,0.826132212
W0903_2009,W0903,2008,M,2008,1,WithMother,4.64,-23.114,25,40.5,4/20/2009,14.12,0.617283951,2008,2009,Nalis,m,m,m,m,m,m,m,m,m,m,m,m,NA,NA,NA,NA,W0229,unknown,24,t,2,2,0.826132212
W0903_2010,W0903,2009,M,2008,2,WithMother,5.09,-23.152,60,56,4/16/2010,4.85,1.071428571,2009,2010,Nalis,m,m,m,m,l,l,l,l,l,l,l,l,NA,NA,NA,NA,W0229,unknown,24,t,2,2,0.826132212
W0904_2009,W0904,2008,F,2008,1,WithMother,4.69,-23.124,23,40,4/20/2009,10.68,0.575,2008,2009,Trulla,m,m,m,m,m,m,m,m,m,m,m,m,0,NA,NA,NA,W0229,unknown,24,t,2,2,0.826132212
W0904_2010,W0904,2009,F,2008,2,WithMother,4.57,-22.992,51,49,4/16/2010,4.92,1.040816327,2009,2010,Trulla,m,m,m,m,l,l,l,l,l,l,l,l,0,NA,NA,NA,W0229,unknown,24,t,2,2,0.826132212
W0231_2004,W0231,2003,F,1992,12,WithCubs,4.61,-23.624,98,65,4/20/2004,6.1874,1.507692308,2003,2004,Klöva,s,s,s,s,s,2,2,s,2,s,s,s,2,january-december,no,1,unknown,W8606,25,t,2,2,0.626506024
W0421_2004,W0421,2003,M,2003,1,WithMother,5.09,-23.444,26,41.5,4/20/2004,3.7472,0.626506024,2003,2004,Klöva_k1:2,m,m,m,m,m,m,m,m,m,m,m,m,NA,NA,NA,NA,W0231,W0423,25,t,2,2,0.626506024
W0231_2008,W0231,2007,F,1992,16,WithCubs,4.6,-23.016,88,65,4/24/2008,5.3544,1.353846154,2007,2008,Klöva,s,s,s,2,2,s,2,s,s,2,s,s,2,january-december,no,1,unknown,W8606,26,t,2,2,0.657132589
W0808_2008,W0808,2007,M,2007,1,WithMother,4.92,-23.226,14,37,4/24/2008,10.8522,0.378378378,2007,2008,Samuel,m,m,m,m,m,m,m,m,m,m,m,m,NA,NA,NA,NA,W0231,unknown,26,t,2,2,0.657132589
W0808_2009,W0808,2008,M,2007,2,WithMother,4.39,-22.684,39,45,4/15/2009,8.41,0.866666667,2008,2009,Samuel,m,m,m,m,m,l,l,l,l,d,NA,NA,NA,NA,NA,NA,W0231,unknown,26,t,2,2,0.657132589
W0809_2008,W0809,2007,M,2007,1,WithMother,5.25,-23.056,17,42,4/24/2008,6.697,0.404761905,2007,2008,Manne,m,m,m,m,m,m,m,m,m,m,m,m,NA,NA,NA,NA,W0231,unknown,26,t,2,2,0.657132589
W0809_2009,W0809,2008,M,2007,2,WithMother,4.75,-22.644,46,47,4/15/2009,6.65,0.978723404,2008,2009,Manne,m,m,m,m,m,l,l,l,d,NA,NA,NA,NA,NA,NA,NA,W0231,unknown,26,t,2,2,0.657132589
W0231_2009,W0231,2008,F,1992,17,WithCubs,4.86,-22.784,83,67,4/15/2009,8.8,1.23880597,2008,2009,Klöva,s,s,s,2,s,l,l,l,l,d,NA,NA,2,january-may,yes,2,unknown,W8606,27,t,2,2,
W0326_2005,W0326,2004,F,1993,12,WithCubs,3.95,-22.592,96,62,4/15/2005,8.28,1.548387097,2004,2005,Gälla,s,s,s,2,s,s,2,s,s,2,s,s,2,january-december,no,1,unknown,unknown,34,t,2,2,0.670731707
W0504_2005,W0504,2004,F,2004,1,WithMother,3.76,-22.562,25,41,4/15/2005,6.23,0.609756098,2004,2005,Räva,m,m,m,m,m,m,m,m,m,m,m,m,0,NA,NA,NA,W0326,unknown,34,t,2,2,0.670731707
W0512_2005,W0512,2004,M,2004,1,WithMother,4.58,-22.772,30,41,4/18/2005,9.14,0.731707317,2004,2005,Gällla_k1:2,m,m,m,m,m,m,m,m,m,m,m,m,NA,NA,NA,NA,W0326,unknown,34,t,2,2,0.670731707
W0326_2008,W0326,2007,F,1993,15,WithCubs,4.25,-22.536,89,65,4/28/2008,6.06,1.369230769,2007,2008,Gälla,s,s,s,3,3,3,3,s,s,3,s,s,3,january-december,no,1,unknown,unknown,35,t,2,3,0.458056347
W0815_2008,W0815,2007,M,2007,1,WithMother,4.5,-22.776,19,40.5,4/28/2008,4.4626,0.469135802,2007,2008,Gälla_k2:1,m,m,m,m,m,m,m,m,m,m,m,m,NA,NA,NA,NA,W0326,unknown,35,t,2,3,0.458056347
W0816_2008,W0816,2007,F,2007,1,WithMother,4.63,-22.516,19,40.5,4/28/2008,4.639,0.469135802,2007,2008,Svedda,m,m,m,m,m,m,m,m,m,m,m,m,0,NA,NA,NA,W0326,unknown,35,t,2,3,0.458056347
W0817_2008,W0817,2007,F,2007,1,WithMother,4.54,-22.696,17,39,4/28/2008,7.2948,0.435897436,2007,2008,Valla,m,m,m,m,m,m,m,m,m,m,m,m,0,NA,NA,NA,W0326,unknown,35,t,2,3,0.458056347
W0517_2007,W0517,2006,F,2001,6,WithCubs,4.57,-23.178,62,53.5,4/20/2007,6.0698,1.158878505,2006,2007,Balsa,s,s,s,s,2,2,2,2,2,s,s,s,2,january-december,no,1,unknown,unknown,41,t,2,2,0.317894737
W0712_2007,W0712,2006,F,2006,1,WithMother,5.12,-23.108,12,37.5,4/20/2007,7.6378,0.32,2006,2007,Munka,m,m,m,m,m,m,m,m,m,m,m,m,0,NA,NA,NA,W0517,unknown,41,t,2,2,0.317894737
W0713_2007,W0713,2006,F,2006,1,WithMother,5.05,-23.188,12,38,4/20/2007,5.0898,0.315789474,2006,2007,Ambra,m,m,m,m,m,m,m,m,m,m,m,m,0,NA,NA,NA,W0517,unknown,41,t,2,2,0.317894737
W0605_2013,W0605,2012,F,2005,8,WithCubs,4.63,-23.196,72,57,4/22/2013,8.18,1.263157895,2012,2013,Sälga,s,s,s,2,s,s,s,s,s,2,s,s,2,january-december,no,1,W0229,unknown,43,t,2,2,0.427689873
W1301_2013,W1301,2012,M,2012,1,WithMother,5,-23.586,17,39.5,4/22/2013,8.03,0.430379747,2012,2013,Slindor,m,m,m,m,m,m,m,m,m,m,m,m,NA,NA,NA,NA,W0605,unknown,43,t,2,2,0.427689873
W1302_2013,W1302,2012,M,2012,1,WithMother,4.81,-23.706,17,40,4/22/2013,9.64,0.425,2012,2013,Bäcker,m,m,m,m,m,m,m,m,m,m,m,m,NA,NA,NA,NA,W0605,unknown,43,t,2,2,0.427689873
W0605_2016,W0605,2015,F,2005,11,WithCubs,4.49,-23.55,80.8,58,5/3/2016,8.27,1.393103448,2015,2016,Sälga,s,s,s,s,2,2,2,2,2,s,s,s,2,january-december,no,1,W0229,unknown,44,t,2,2,
W0620_2015,W0620,2014,F,2005,10,WithCubs,4.85,-23.242,106.5,63,4/18/2015,11.6,1.69047619,2014,2015,Tvåska,s,s,s,s,s,l,l,l,d,NA,NA,NA,3,january-june,yes,2,W0004,unknown,46,t,2,3,
W0713_2015,W0713,2014,F,2006,9,WithCubs,4.68,-23.192,62.8,56.5,4/23/2015,16.66,1.111504425,2014,2015,Ambra,s,s,s,2,s,s,s,s,s,s,s,s,2,january-december,no,1,W0517,unknown,53,t,2,2,
W0720_2011,W0720,2010,F,2000,11,WithCubs,4.65,-22.87,56,56,4/19/2011,10.03,1,2010,2011,Rådika,s,s,s,2,s,l,l,l,l,l,l,l,2,january-may,yes,2,unknown,unknown,56,t,2,2,
W0720_2015,W0720,2014,F,2000,15,WithCubs,4.48,-22.992,76.6,59,4/23/2015,13,1.298305085,2014,2015,Rådika,s,s,s,2,s,l,l,l,l,l,l,l,2,january-may,yes,2,unknown,unknown,57,t,2,2,
W0826_2010,W0826,2009,F,1997,13,WithCubs,4.11,-22.682,83,62,4/22/2010,10.04,1.338709677,2009,2010,Andljusa,s,s,s,s,s,s,s,s,s,s,s,s,3,january-december,no,1,unknown,unknown,58,t,2,3,0.474583896
W1010_2010,W1010,2009,M,2009,1,WithMother,4.41,-22.832,15.5,39,4/22/2010,9.38,0.397435897,2009,2010,Itav,m,m,m,m,m,m,m,m,m,m,m,m,NA,NA,NA,NA,W0826,unknown,58,t,2,3,0.474583896
W1011_2010,W1011,2009,F,2009,1,WithMother,4.56,-22.792,17,34,4/22/2010,8.78,0.5,2009,2010,Lillunn,m,m,m,m,m,m,m,m,m,m,m,m,0,NA,NA,NA,W0826,unknown,58,t,2,3,0.474583896
W1012_2010,W1012,2009,M,2009,1,WithMother,4.46,-23.192,20,38,4/22/2010,10.2,0.526315789,2009,2010,Litå,m,m,m,m,m,m,m,m,m,m,m,m,NA,NA,NA,NA,W0826,unknown,58,t,2,3,0.474583896
W8811_1996,W8811,1995,F,1978,18,WithCubs,4.69,-22.62,102,64,4/19/1996,5.1486,1.59375,1995,1996,Mossihonan,s,s,s,3,2,s,s,s,2,s,s,s,3,january-december,no,1,unknown,unknown,67,t,2,3,0.646341463
W9603_1996,W9603,1995,M,1995,1,WithMother,5.11,-23.13,26.5,41,4/19/1996,4.247,0.646341463,1995,1996,Mossi_k4:1,m,m,m,m,m,m,m,m,m,m,m,m,NA,NA,NA,NA,W8811,97SN02,67,t,2,3,0.646341463
W8811_1997,W8811,1996,F,1978,19,WithCubs,4.99,-22.588,104,62,4/28/1997,3.512,1.677419355,1996,1997,Mossihonan,s,s,s,2,1,l,l,l,l,l,l,l,2,january-may,yes,2,unknown,unknown,68,t,2,2,0.992401216
W0024_2000,W0024,1999,M,1999,1,WithMother,5.4,-22.762,36,42,4/28/2000,4.2274,0.857142857,1999,2000,Mossi_k5:1,m,m,m,m,m,NA,NA,NA,NA,d,NA,NA,NA,NA,NA,NA,W8811,unknown,68,t,2,2,0.992401216
W9605_1997,W9605,1996,F,1995,2,WithMother,4.81,-22.338,53,47,4/28/1997,2.3164,1.127659574,1996,1997,Pila,m,m,m,m,m,l,l,l,l,l,l,l,0,NA,NA,NA,W8811,unknown,68,t,2,2,0.992401216
W9003_1997,W9003,1996,F,1989,8,WithCubs,5.03,-22.728,103,59,4/16/1997,3.6394,1.745762712,1996,1997,Jöllmyrshonan,s,s,2,2,2,l,l,l,l,l,l,l,2,january-may,yes,2,W8802,unknown,79,t,2,2,0.461538462
W9602_1996,W9602,1995,F,1995,1,WithMother,4.86,-22.92,18,39,4/12/1996,4.394,0.461538462,1995,1996,Myra,m,m,m,m,m,m,m,m,m,m,m,m,0,NA,NA,NA,W9003,W0108,79,t,2,2,0.461538462
W9308_1998,W9308,1997,F,1988,10,WithCubs,4.26,-22.686,95,63,4/27/1998,4.2372,1.507936508,1997,1998,Järva,s,s,s,s,3,s,3,3,s,s,s,s,3,january-december,no,1,W8811,unknown,98,t,2,3,0.560966811
W9812_1998,W9812,1997,F,1997,1,WithMother,4.77,-22.831,20,42,4/27/1998,4.4626,0.476190476,1997,1998,Moa,m,m,m,m,m,m,m,m,m,m,m,m,0,NA,NA,NA,W9308,W8807,98,t,2,3,0.560966811
W9813_1998,W9813,1997,M,1997,1,WithMother,5.29,-22.676,29,44,4/27/1998,4.2274,0.659090909,1997,1998,Amos,m,m,m,m,m,m,m,m,m,m,m,m,NA,NA,NA,NA,W9308,W8807,98,t,2,3,0.560966811
W9814_1998,W9814,1997,F,1997,1,WithMother,5.3,-22.696,23,42,4/27/1998,4.2274,0.547619048,1997,1998,Bella,m,m,m,m,m,m,m,m,m,m,m,m,0,NA,NA,NA,W9308,W8807,98,t,2,3,0.560966811
W9308_2006,W9308,2005,F,1988,18,WithCubs,4.25,-22.91,93,66,5/1/2006,5.0114,1.409090909,2005,2006,Järva,s,s,s,s,4,s,4,s,s,4,s,s,4,january-december,no,1,W8811,unknown,100,t,2,4,0.524515374
W0612_2006,W0612,2005,M,2005,1,WithMother,4.97,-23.09,21.5,40,5/1/2006,4.149,0.5375,2005,2006,Krut,m,m,m,m,m,m,m,m,m,m,m,m,NA,NA,NA,NA,W9308,unknown,100,t,2,4,0.524515374
W0613_2006,W0613,2005,M,2005,1,WithMother,4.97,-23.2,14.5,34,5/1/2006,4.7272,0.426470588,2005,2006,Karlgrav,m,m,m,m,m,m,m,m,m,m,m,m,NA,NA,NA,NA,W9308,unknown,100,t,2,4,0.524515374
W0614_2006,W0614,2005,M,2005,1,WithMother,4.72,-23.14,19,40,5/1/2006,6.2364,0.475,2005,2006,Järva_k9:3,m,m,m,m,m,m,m,m,m,m,m,m,NA,NA,NA,NA,W9308,unknown,100,t,2,4,0.524515374
W0615_2006,W0615,2005,M,2005,1,WithMother,5.01,-23.17,29,44,5/1/2006,7.2458,0.659090909,2005,2006,Järva_k9:4,m,m,m,m,m,m,m,m,m,m,m,m,NA,NA,NA,NA,W9308,unknown,100,t,2,4,0.524515374
W9308_2009,W9308,2008,F,1988,21,WithCubs,4.08,-22.814,110,70,4/21/2009,13.3,1.571428571,2008,2009,Järva,s,s,s,2,s,s,2,s,s,2,s,s,2,january-december,no,1,W8811,unknown,101,t,2,2,0.607553366
W0905_2009,W0905,2008,M,2008,1,WithMother,5.21,-22.924,28,43.5,4/21/2009,10.37,0.643678161,2008,2009,Järva_k10:1,m,m,m,m,m,m,m,m,m,m,m,m,NA,NA,NA,NA,W9308,unknown,101,t,2,2,0.607553366
W0906_2009,W0906,2008,M,2008,1,WithMother,5.02,-22.804,24,42,4/21/2009,11.67,0.571428571,2008,2009,Järva_k10:2,m,m,m,m,m,m,m,m,m,m,m,m,NA,NA,NA,NA,W9308,unknown,101,t,2,2,0.607553366
W9310_2003,W9310,2002,F,1992,11,WithCubs,3.2,-22.866,88,64,4/16/2003,7.8338,1.375,2002,2003,Sari,s,s,s,2,s,2,s,D,NA,NA,NA,NA,2,unknown,no,1,W9308,W8807,104,t,2,2,0.637096774
W0311_2003,W0311,2002,F,2002,1,WithMother,4.82,-22.516,20,40,4/16/2003,5.8346,0.5,2002,2003,Rita,m,m,m,m,m,m,m,m,l,l,l,l,0,NA,NA,NA,W9310,unknown,104,t,2,2,0.637096774
W0312_2003,W0312,2002,M,2002,1,WithMother,4.27,-22.616,24,31,4/16/2003,6.7264,0.774193548,2002,2003,Sari_k4:2,m,m,m,m,m,m,m,m,NA,NA,NA,NA,NA,NA,NA,NA,W9310,unknown,104,t,2,2,0.637096774
W9403_2006,W9403,2005,F,1993,13,WithCubs,4.41,-23.25,90,62,5/2/2006,6.37,1.451612903,2005,2006,Grivla,s,s,s,s,2,2,2,s,s,2,s,s,2,january-december,no,1,W8808,W8607,107,t,2,2,0.708613565
W0618_2006,W0618,2005,M,2005,1,WithMother,4.83,-23.74,21,41,5/2/2006,9.66,0.512195122,2005,2006,Kampi,m,m,m,m,m,m,m,m,m,m,m,m,NA,NA,NA,NA,W9403,unknown,107,t,2,2,0.708613565
W0618_2007,W0618,2006,M,2005,2,WithMother,4.65,-23.258,50,50,5/4/2007,3.3454,1,2006,2007,Kampi,m,m,m,m,m,l,l,l,NA,NA,NA,NA,NA,NA,NA,NA,W9403,unknown,107,t,2,2,0.708613565
W0619_2006,W0619,2005,M,2005,1,WithMother,4.93,-23.7,20,43,5/2/2006,7.54,0.465116279,2005,2006,Kangas,m,m,m,m,m,m,m,m,m,m,m,m,NA,NA,NA,NA,W9403,unknown,107,t,2,2,0.708613565
W0619_2007,W0619,2006,M,2005,2,WithMother,4.72,-23.378,42,49,5/4/2007,4.2862,0.857142857,2006,2007,Kangas,m,m,m,m,m,l,l,l,d,NA,NA,NA,NA,NA,NA,NA,W9403,unknown,107,t,2,2,0.708613565
W9403_2007,W9403,2006,F,1993,14,WithCubs,4.82,-23.038,90,61,5/4/2007,4.2666,1.475409836,2006,2007,Grivla,s,s,s,s,2,l,l,l,l,l,l,l,2,january-may,yes,2,W8808,W8607,108,t,2,2,
W9403_2009,W9403,2008,F,1993,16,WithCubs,4.08,-23.184,92,63,4/22/2009,8.18,1.46031746,2008,2009,Grivla,s,s,s,3,3,3,3,s,s,3,s,s,3,january-december,no,1,W8808,W8607,109,t,2,3,0.386111111
W0907_2009,W0907,2008,M,2008,1,WithMother,5.04,-23.624,13,39,4/22/2009,9.76,0.333333333,2008,2009,Kosin,m,m,m,m,m,m,m,m,m,m,m,m,NA,NA,NA,NA,W9403,unknown,109,t,2,3,0.386111111
W0908_2009,W0908,2008,M,2008,1,WithMother,4.43,-23.664,14,40,4/22/2009,13,0.35,2008,2009,Sopin,m,m,m,m,m,m,m,m,m,m,m,m,NA,NA,NA,NA,W9403,unknown,109,t,2,3,0.386111111
W0909_2009,W0909,2008,M,2008,1,WithMother,4.89,-23.684,19,40,4/22/2009,10.39,0.475,2008,2009,Heiken,m,m,m,m,m,m,m,m,m,m,m,m,NA,NA,NA,NA,W9403,unknown,109,t,2,3,0.386111111
W9403_2010,W9403,2009,F,1993,17,WithCubs,4.52,-23.082,87,57,4/14/2010,7.72,1.526315789,2009,2010,Grivla,s,s,s,3,s,l,l,l,l,l,l,l,3,january-may,yes,2,W8808,W8607,110,t,2,3,0.725709476
W0907_2010,W0907,2009,M,2008,2,WithMother,4.54,-23.402,27,44,4/14/2010,6.46,0.613636364,2009,2010,Kosin,m,m,m,m,m,l,l,l,d,NA,NA,NA,NA,NA,NA,NA,W9403,unknown,110,t,2,3,0.725709476
W0908_2010,W0908,2009,M,2008,2,WithMother,4.55,-23.522,33,42,4/14/2010,5.52,0.785714286,2009,2010,Sopin,m,m,m,m,m,l,l,l,l,l,l,l,NA,NA,NA,NA,W9403,unknown,110,t,2,3,0.725709476
W0909_2010,W0909,2009,M,2008,2,WithMother,4.68,-23.422,35,45,4/14/2010,6.74,0.777777778,2009,2010,Heiken,m,m,m,m,m,l,l,l,d,NA,NA,NA,NA,NA,NA,NA,W9403,unknown,110,t,2,3,0.725709476
W9504_2000,W9504,1999,F,1994,6,WithCubs,4.99,-22.742,82,57,4/28/2000,4.688,1.438596491,1999,2000,Donna,s,s,s,3,s,s,s,s,s,s,3,s,3,january-december,no,1,W9308,W8807,117,t,2,3,0.675280544
W0018_2000,W0018,1999,F,1999,1,WithMother,5.75,-22.992,27,38,4/28/2000,3.9236,0.710526316,1999,2000,Tuva,m,m,m,m,m,m,m,m,m,m,m,m,0,NA,NA,NA,W9504,unknown,117,t,2,3,0.675280544
W0019_2000,W0019,1999,F,1999,1,WithMother,5.66,-22.872,24,37,4/28/2000,3.7276,0.648648649,1999,2000,Leta,m,m,m,m,m,m,m,m,m,m,m,m,0,NA,NA,NA,W9504,unknown,117,t,2,3,0.675280544
W0020_2000,W0020,1999,F,1999,1,WithMother,5.69,-22.952,24,36,4/28/2000,4.933,0.666666667,1999,2000,Spana,m,m,m,m,m,m,m,m,m,m,m,m,0,NA,NA,NA,W9504,unknown,117,t,2,3,0.675280544
W9814_2004,W9814,2003,F,1997,7,WithCubs,3.84,-22.854,87,61,4/18/2004,3.806,1.426229508,2003,2004,Bella,s,s,s,1,s,1,1,s,s,s,s,s,1,january-december,no,1,W9308,W8807,126,t,2,1,0.571428571
W0417_2004,W0417,2003,M,2003,1,WithMother,5.1,-22.884,22,38.5,4/18/2004,4.982,0.571428571,2003,2004,Bella_k1:1,m,m,m,m,m,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W9814,W0327,126,t,2,1,0.571428571
W9814_2007,W9814,2006,F,1997,10,WithCubs,4.17,-22.748,85,62,4/17/2007,4.8938,1.370967742,2006,2007,Bella,s,s,s,2,2,2,2,2,2,s,s,s,2,january-december,no,1,W9308,W8807,127,t,2,2,0.487179487
W0706_2007,W0706,2006,F,2006,1,WithMother,5.24,-22.778,19,39,4/17/2007,4.6194,0.487179487,2006,2007,Brända,m,m,m,m,m,m,m,m,m,m,m,m,0,NA,NA,NA,W9814,W0327,127,t,2,2,0.487179487
W0707_2007,W0707,2006,F,2006,1,WithMother,5.12,-22.688,19,39,4/17/2007,4.3254,0.487179487,2006,2007,Broka,m,m,m,m,m,m,m,m,m,m,m,m,0,NA,NA,NA,W9814,W0327,127,t,2,2,0.487179487
W9814_2010,W9814,2009,F,1997,13,WithCubs,4.16,-23.052,86,63,4/22/2010,16.33,1.365079365,2009,2010,Bella,s,s,s,2,s,s,2,s,s,s,s,s,2,january-december,no,1,W9308,W8807,128,t,2,2,0.461199295
W1013_2010,W1013,2009,M,2009,1,WithMother,4.36,-22.842,20,40.5,4/22/2010,6.32,0.49382716,2009,2010,Bella_k3:1,m,m,m,m,m,m,m,m,m,m,m,m,NA,NA,NA,NA,W9814,unknown,128,t,2,2,0.461199295
W1014_2010,W1014,2009,M,2009,1,WithMother,4.74,-23.272,18,42,4/22/2010,10.27,0.428571429,2009,2010,Bella_k3:2,m,m,m,m,m,m,m,m,m,m,m,m,NA,NA,NA,NA,W9814,unknown,128,t,2,2,0.461199295
W9903_2005,W9903,2004,F,1997,8,WithCubs,4.01,-22.622,75,60,4/17/2005,6.4716,1.25,2004,2005,Kulla,s,s,s,1,1,1,1,s,s,1,1,s,1,january-december,no,1,unknown,unknown,129,t,2,1,0.511627907
W0509_2005,W0509,2004,F,2004,1,WithMother,4.16,-22.812,22,43,4/17/2005,6.5206,0.511627907,2004,2005,Glya,m,m,m,m,m,m,m,m,m,m,m,m,0,NA,NA,NA,W9903,unknown,129,t,2,1,0.511627907
W9903_2010,W9903,2009,F,1997,13,WithCubs,4.27,-22.702,78,63,4/21/2010,13.65,1.238095238,2009,2010,Kulla,s,s,s,3,s,s,3,s,s,3,s,s,3,january-december,no,1,unknown,unknown,131,t,2,3,0.459033009
W1007_2010,W1007,2009,M,2009,1,WithMother,4.13,-23.322,17.5,39,4/21/2010,8.89,0.448717949,2009,2010,Kulla_k4:1,m,m,m,m,m,m,m,m,m,m,m,m,NA,NA,NA,NA,W9903,unknown,131,t,2,3,0.459033009
W1008_2010,W1008,2009,M,2009,1,WithMother,4.42,-23.302,19,39.5,4/21/2010,8.96,0.481012658,2009,2010,Kulla_k4:2,m,m,m,m,m,m,m,m,m,m,m,m,NA,NA,NA,NA,W9903,unknown,131,t,2,3,0.459033009
W1009_2010,W1009,2009,F,2009,1,WithMother,4.67,-23.262,17,38,4/21/2010,12.87,0.447368421,2009,2010,Ransi,m,m,m,m,m,m,m,m,m,m,m,m,0,NA,NA,NA,W9903,unknown,131,t,2,3,0.459033009
W9914_2009,W9914,2008,F,1998,11,WithCubs,4.43,-22.914,95,63,4/23/2009,12.28,1.507936508,2008,2009,Gira,s,s,s,2,s,s,2,s,s,2,s,s,2,january-december,no,1,W9404,W9311,138,t,2,2,0.522844828
W0911_2009,W0911,2008,M,2008,1,WithMother,4.72,-23.344,17,40,4/23/2009,15.55,0.425,2008,2009,Gira_k6:1,m,m,m,m,m,m,m,m,m,m,m,m,NA,NA,NA,NA,W9914,unknown,138,t,2,2,0.522844828
W0912_2009,W0912,2008,M,2008,1,WithMother,5.04,-23.024,27,43.5,4/23/2009,9.24,0.620689655,2008,2009,Gira_k6:2,m,m,m,m,m,m,m,m,m,m,m,m,NA,NA,NA,NA,W9914,unknown,138,t,2,2,0.522844828
