bear.year,bearID,year.rep,sex,birth.year,age,repro,dN15,dC13,mass,headcirc,capture.date,cortisol.kitcorrected,condition,fYEAR,year,pub.name,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,number.cubs,periodwcubs,cubseparation,cub.age,mother,father,family.group,length.mat.care,n.LMC,litter.size,mean.offspring.condition
W9404_1999,W9404,1998,F,1993,6,WithCubs,4.05,-22.954,89,57,4/20/1999,4.3254,1.561403509,1998,1999,Börrine,s,s,s,3,s,s,l,l,l,l,l,l,3,january-june,yes,1,W9008,W9811,112,o,1,3,0.576877662
W9913_1999,W9913,1998,F,1998,1,WithMother,4.34,-22.974,23,40,4/20/1999,4.1686,0.575,1998,1999,Strandli,m,m,m,m,m,m,l,l,l,l,l,l,0,NA,NA,NA,W9404,W9311,112,o,1,3,0.576877662
W9914_1999,W9914,1998,F,1998,1,WithMother,4.67,-22.824,22,41,4/20/1999,4.2568,0.536585366,1998,1999,Gira,m,m,m,m,m,m,l,l,l,l,l,l,0,NA,NA,NA,W9404,W9311,112,o,1,3,0.576877662
W9915_1999,W9915,1998,M,1998,1,WithMother,4.31,-22.904,26,42,4/20/1999,3.2768,0.619047619,1998,1999,Börrine_k3:3,m,m,m,m,m,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W9404,W9311,112,o,1,3,0.576877662
W9404_2002,W9404,2001,F,1993,9,WithCubs,4.11,-23.188,104,64,4/24/2002,4.2176,1.625,2001,2002,Börrine,s,s,s,3,s,l,l,l,l,l,l,l,3,january-may,yes,1,W9008,W9811,113,o,1,3,0.551405622
W0221_2002,W0221,2001,F,2001,1,WithMother,4.46,-23.178,23,40,4/24/2002,5.1976,0.575,2001,2002,Faksa,m,m,m,m,m,l,l,l,l,l,l,l,0,NA,NA,NA,W9404,W9311,113,o,1,3,0.551405622
W0222_2002,W0222,2001,M,2001,1,WithMother,4.42,-23.148,23,41.5,4/24/2002,6.2462,0.554216867,2001,2002,Börre,m,m,m,m,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W9404,W9505,113,o,1,3,0.551405622
W0223_2002,W0223,2001,F,2001,1,WithMother,4.7,-23.038,21,40,4/24/2002,6.0306,0.525,2001,2002,Hölja,m,m,m,m,m,l,l,l,NA,NA,NA,NA,0,NA,NA,NA,W9404,W9505,113,o,1,3,0.551405622
W9502_2000,W9502,1999,F,1994,6,WithCubs,4.97,-22.792,104,63,4/14/2000,3.8746,1.650793651,1999,2000,Binna,s,s,s,1,s,l,l,l,l,l,l,l,1,january-may,yes,1,W9308,W8807,114,o,1,1,0.936708861
W0009_2000,W0009,1999,M,1999,1,WithMother,5.83,-23.072,37,39.5,4/14/2000,3.7962,0.936708861,1999,2000,Binna_k1:1,m,m,m,m,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W9502,W9916,114,o,1,1,0.936708861
W9502_2002,W9502,2001,F,1994,8,WithCubs,4.2,-23.168,88,62,4/19/2002,7.4124,1.419354839,2001,2002,Binna,s,s,s,3,s,l,l,l,l,l,l,l,3,january-may,yes,1,W9308,W8807,115,o,1,3,0.543731123
W0205_2002,W0205,2001,F,2001,1,WithMother,5.06,-23.058,18,38,4/19/2002,4.8154,0.473684211,2001,2002,Blecka,m,m,m,m,m,d,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,W9502,W0108,115,o,1,3,0.543731123
W0206_2002,W0206,2001,M,2001,1,WithMother,4.91,-22.988,21,39,4/19/2002,5.9228,0.538461538,2001,2002,Binna_k2:2,m,m,m,m,m,NA,NA,NA,NA,d,NA,NA,NA,NA,NA,NA,W9502,W0108,115,o,1,3,0.543731123
W0207_2002,W0207,2001,M,2001,1,WithMother,5.19,-22.888,26,42,4/19/2002,4.688,0.619047619,2001,2002,Binna_k2:3,m,m,m,m,m,NA,NA,NA,NA,d,NA,NA,NA,NA,NA,NA,W9502,W0108,115,o,1,3,0.543731123
W9502_2004,W9502,2003,F,1994,10,WithCubs,3.85,-23.464,100,64,4/14/2004,4.6194,1.5625,2003,2004,Binna,s,s,s,3,s,l,l,l,D,NA,NA,NA,3,january-may,yes,1,W9308,W8807,116,o,1,3,0.619444444
W0401_2004,W0401,2003,F,2003,1,WithMother,4.61,-23.404,21,40,4/14/2004,4.394,0.525,2003,2004,Vilma,m,m,m,m,m,l,l,l,l,l,l,l,0,NA,NA,NA,W9502,W9810,116,o,1,3,0.619444444
W0402_2004,W0402,2003,F,2003,1,WithMother,4.875,-23.334,30,42,4/14/2004,4.1245,0.714285714,2003,2004,Gnista,m,m,m,m,m,l,l,l,l,l,l,l,0,NA,NA,NA,W9502,W9810,116,o,1,3,0.619444444
W0403_2004,W0403,2003,F,2003,1,WithMother,4.83,-23.104,26,42,4/14/2004,4.0118,0.619047619,2003,2004,Romunda,m,m,m,m,m,l,d,NA,NA,NA,NA,NA,0,NA,NA,NA,W9502,unknown,116,o,1,3,0.619444444
W9615_2003,W9615,2002,F,1995,8,WithCubs,4.35,-22.586,92,58,4/23/2003,4.5802,1.586206897,2002,2003,Keiko,s,s,s,1,s,l,l,l,l,l,l,l,1,january-may,yes,1,W8905,W9409,118,o,1,1,0.525
W0317_2003,W0317,2002,F,2002,1,WithMother,5.11,-22.616,21,40,4/23/2003,4.1392,0.525,2002,2003,Vasta,m,m,m,m,m,l,l,l,d,NA,NA,NA,0,NA,NA,NA,W9615,W0233,118,o,1,1,0.525
W9615_2005,W9615,2004,F,1995,10,WithCubs,3.88,-23.002,95,62,4/27/2005,6.9,1.532258065,2004,2005,Keiko,s,s,s,2,s,l,l,l,l,l,l,l,2,january-may,yes,1,W8905,W9409,119,o,1,2,0.563953488
W0514_2005,W0514,2004,M,2004,1,WithMother,4.61,-22.792,20,40,4/27/2005,11.56,0.5,2004,2005,Keiko_k2:1,m,m,m,m,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W9615,unknown,119,o,1,2,0.563953488
W0515_2005,W0515,2004,M,2004,1,WithMother,4.3,-23.112,27,43,4/27/2005,8.65,0.627906977,2004,2005,Keiko_k2:2,m,m,m,m,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W9615,unknown,119,o,1,2,0.563953488
W9615_2007,W9615,2006,F,1995,12,WithCubs,4.95,-23.048,106,63,4/16/2007,3.8256,1.682539683,2006,2007,Keiko,s,s,s,2,2,l,l,l,l,l,l,l,2,january-may,yes,1,W8905,W9409,120,o,1,2,0.678130511
W0704_2007,W0704,2006,M,2006,1,WithMother,5.47,-23.228,26,40.5,4/16/2007,5.7268,0.641975309,2006,2007,Keiko_k3:1,m,m,m,m,m,NA,NA,NA,d,NA,NA,NA,NA,NA,NA,NA,W9615,unknown,120,o,1,2,0.678130511
