bear.year,bearID,year.rep,sex,birth.year,age,repro,dN15,dC13,mass,headcirc,capture.date,cortisol.kitcorrected,condition,fYEAR,fAGE,year,fREPRO,pub.name,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,number.cubs,periodwcubs,cubseparation,cub.age,mother,father,FG
W9911_1999,W9911,1998,F,1998,1,WithMother,4.92,-22.994,22.5,38,4/19/1999,4.4234,0.592105263,1998,1,1999,4,Sika,m,m,m,m,m,l,l,l,l,l,l,l,0,NA,NA,NA,W8808,W9301,65
W9912_1999,W9912,1998,F,1998,1,WithMother,4.79,-22.884,21,39,4/19/1999,4.3058,0.538461538,1998,1,1999,4,Noppi_k7:3,m,m,m,m,d,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,W8808,unknown,65
W8808_1999,W8808,1998,F,1981,18,WithCubs,4.21,-22.774,90,61,4/19/1999,5.0702,1.475409836,1998,18,1999,3,Noppihonan,s,s,s,3,2,l,l,l,l,l,l,l,3,january-may,yes,1,unknown,unknown,65
W0320_2003,W0320,2002,M,2002,1,WithMother,5.27,-23.106,19,39.5,4/24/2003,11.04,0.481012658,2002,1,2003,4,Noppi_k9:1,m,m,m,m,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W8808,W9921,66
W0321_2003,W0321,2002,M,2002,1,WithMother,4.97,-23.136,17,37,4/24/2003,13.53,0.459459459,2002,1,2003,4,Noppi_k9:2,m,m,m,m,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W8808,W9921,66
W8808_2003,W8808,2002,F,1981,22,WithCubs,4.22,-22.816,83,62,4/24/2003,7.81,1.338709677,2002,22,2003,3,Noppihonan,s,s,s,3,D,NA,NA,NA,NA,NA,NA,NA,3,unknown,unknown,1,unknown,unknown,66
W9603_1996,W9603,1995,M,1995,1,WithMother,5.11,-23.13,26.5,41,4/19/1996,4.247,0.646341463,1995,1,1996,4,Mossi_k4:1,m,m,m,m,m,m,m,m,m,m,m,m,NA,NA,NA,NA,W8811,97SN02,67
W8811_1996,W8811,1995,F,1978,18,WithCubs,4.69,-22.62,102,64,4/19/1996,5.1486,1.59375,1995,18,1996,3,Mossihonan,s,s,s,3,2,s,s,s,2,s,s,s,3,january-december,no,1,unknown,unknown,67
W9605_1997,W9605,1996,F,1995,2,WithMother,4.81,-22.338,53,47,4/28/1997,2.3164,1.127659574,1996,2,1997,4,Pila,m,m,m,m,m,l,l,l,l,l,l,l,0,NA,NA,NA,W8811,unknown,68
W0024_2000,W0024,1999,M,1999,1,WithMother,5.4,-22.762,36,42,4/28/2000,4.2274,0.857142857,1999,1,2000,4,Mossi_k5:1,m,m,m,m,m,NA,NA,NA,NA,d,NA,NA,NA,NA,NA,NA,W8811,unknown,68
W8811_1997,W8811,1996,F,1978,19,WithCubs,4.99,-22.588,104,62,4/28/1997,3.512,1.677419355,1996,19,1997,3,Mossihonan,s,s,s,2,1,l,l,l,l,l,l,l,2,january-may,yes,2,unknown,unknown,68
W9703_1997,W9703,1996,F,1996,1,WithMother,5.85,-22.608,37,43,4/16/1997,3.7472,0.860465116,1996,1,1997,4,Tekla,m,m,m,m,m,m,l,l,l,d,NA,nA,0,NA,NA,NA,W8904,99X02,69
W8904_1997,W8904,1996,F,1987,10,WithCubs,5.13,-23.048,100,62,4/16/1997,3.561,1.612903226,1996,10,1997,3,Täxåshonan,s,s,s,1,1,1,l,l,l,l,l,l,1,january-june,yes,1,W8802,unknown,69
W0014_2000,W0014,1999,M,1999,1,WithMother,5.84,-23.022,42,45,4/16/2000,3.4924,0.933333333,1999,1,2000,4,Täxås_k6:1,m,m,m,m,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W8904,00W07,70
