bear.year,bearID,year.rep,sex,birth.year,age,repro,dN15,dC13,mass,headcirc,capture.date,cortisol.kitcorrected,condition,fYEAR,fAGE,year,fREPRO,pub.name,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,number.cubs,periodwcubs,cubseparation,cub.age,mother,father,FG
W9207_1996,W9207,1995,F,1991,5,WithCubs,3.54,-23.44,76,56,4/20/1996,4.59,1.357142857,1995,5,1996,3,Koska,s,s,s,2,2,2,s,l,l,l,l,l,2,january-july,yes,1,W8808,W8503,92
W9208_1997,W9208,1996,F,1991,6,WithCubs,5.37,-22.858,99,59,4/17/1997,3.6394,1.677966102,1996,6,1997,3,Barka,s,s,s,2,s,s,l,l,l,l,l,l,2,january-june,yes,1,W8808,W8503,93
W9808_1998,W9808,1997,F,1997,1,WithMother,4.51,-23.226,24,42,4/18/1998,4.6488,0.571428571,1997,1,1998,4,Eja,m,m,m,m,l,l,l,l,l,l,l,l,0,NA,NA,NA,W9306,W8601,94
W9809_1998,W9809,1997,M,1997,1,WithMother,4.38,-23.166,25,43,4/18/1998,4.0706,0.581395349,1997,1,1998,4,Åmyn,m,m,m,m,m,l,l,l,l,l,l,l,NA,NA,NA,NA,W9306,W8601,94
W9306_1998,W9306,1997,F,1992,6,WithCubs,3.8,-22.886,84,58,4/18/1998,3.316,1.448275862,1997,6,1998,3,Ava,s,s,s,2,1,l,l,l,l,l,l,l,2,january-may,yes,1,W8906,W8503,94
W0017_2000,W0017,1999,M,1999,1,WithMother,5.05,-23.222,30,38,4/27/2000,3.7962,0.789473684,1999,1,2000,4,Kataja,m,m,m,m,m,m,l,l,l,NA,NA,NA,NA,NA,NA,NA,W9307,W9301,95
W9307_2000,W9307,1999,F,1992,8,WithCubs,4.77,-22.902,89,59,4/27/2000,4.8742,1.508474576,1999,8,2000,2and3,Tippa,b,1+1,s,s,1,s,l,l,l,l,l,l,1,january-june,yes,0 and 1,W8906,W8503,95
W0210_2002,W0210,2001,M,2001,1,WithMother,5.24,-22.968,20,40,4/20/2002,5.9424,0.5,2001,1,2002,4,Tippa_k5:2,m,m,m,m,m,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W9307,W9701,96
W0211_2002,W0211,2001,M,2001,1,WithMother,5.19,-22.878,18.5,38,4/20/2002,5.3152,0.486842105,2001,1,2002,4,Tippa_k5:3,m,m,m,m,m,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W9307,W9701,96
W0212_2002,W0212,2001,F,2001,1,WithMother,5.4,-22.868,17,38,4/20/2002,5.4818,0.447368421,2001,1,2002,4,Salma,m,m,m,m,m,m,l,l,l,l,l,l,0,NA,NA,NA,W9307,W9701,96
W9307_2002,W9307,2001,F,1992,10,WithCubs,4.59,-23.008,89,59,4/20/2002,6.8538,1.508474576,2001,10,2002,3,Tippa,s,s,s,3,s,s,l,l,l,l,l,l,3,january-june,yes,1,W8906,W8503,96
W0409_2004,W0409,2003,M,2003,1,WithMother,4.93,-23.504,21,40,4/16/2004,12.86,0.525,2003,1,2004,4,Tippa_k5:1,m,m,m,m,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W9307,W0011,97
W0410_2004,W0410,2003,F,2003,1,WithMother,4.64,-23.454,27,39,4/16/2004,12.18,0.692307692,2003,1,2004,4,Tomsa,m,m,m,m,m,l,l,l,l,l,l,l,0,NA,NA,NA,W9307,W9701,97
W9307_2004,W9307,2003,F,1992,12,WithCubs,4.48,-23.574,110,65,4/16/2004,9.66,1.692307692,2003,12,2004,3,Tippa,s,s,s,3,s,l,l,l,l,l,l,l,3,january-may,yes,1,W8906,W8503,97
W9812_1998,W9812,1997,F,1997,1,WithMother,4.77,-22.831,20,42,4/27/1998,4.4626,0.476190476,1997,1,1998,4,Moa,m,m,m,m,m,m,m,m,m,m,m,m,0,NA,NA,NA,W9308,W8807,98
W9813_1998,W9813,1997,M,1997,1,WithMother,5.29,-22.676,29,44,4/27/1998,4.2274,0.659090909,1997,1,1998,4,Amos,m,m,m,m,m,m,m,m,m,m,m,m,NA,NA,NA,NA,W9308,W8807,98
W9814_1998,W9814,1997,F,1997,1,WithMother,5.3,-22.696,23,42,4/27/1998,4.2274,0.547619048,1997,1,1998,4,Bella,m,m,m,m,m,m,m,m,m,m,m,m,0,NA,NA,NA,W9308,W8807,98
W9308_1998,W9308,1997,F,1988,10,WithCubs,4.26,-22.686,95,63,4/27/1998,4.2372,1.507936508,1997,10,1998,3,Järva,s,s,s,s,3,s,3,3,s,s,s,s,3,january-december,no,1,W8811,unknown,98
W0318_2003,W0318,2002,F,2002,1,WithMother,5.51,-22.866,25,41,4/24/2003,6.38,0.609756098,2002,1,2003,4,Tana,m,m,m,m,m,l,l,l,l,l,l,l,0,NA,NA,NA,W9308,W9901,99
W0319_2003,W0319,2002,M,2002,1,WithMother,5.54,-22.796,24,41,4/24/2003,10.47,0.585365854,2002,1,2003,4,Järva_k7:2,m,m,m,m,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W9308,unknown,99
W9308_2003,W9308,2002,F,1988,15,WithCubs,4.34,-22.736,101,65,4/24/2003,9.38,1.553846154,2002,15,2003,3,Järva,s,s,s,s,s,l,l,l,l,l,l,l,2,january-may,yes,1,W8811,unknown,99
W0612_2006,W0612,2005,M,2005,1,WithMother,4.97,-23.09,21.5,40,5/1/2006,4.149,0.5375,2005,1,2006,4,Krut,m,m,m,m,m,m,m,m,m,m,m,m,NA,NA,NA,NA,W9308,unknown,100
W0613_2006,W0613,2005,M,2005,1,WithMother,4.97,-23.2,14.5,34,5/1/2006,4.7272,0.426470588,2005,1,2006,4,Karlgrav,m,m,m,m,m,m,m,m,m,m,m,m,NA,NA,NA,NA,W9308,unknown,100
W0614_2006,W0614,2005,M,2005,1,WithMother,4.72,-23.14,19,40,5/1/2006,6.2364,0.475,2005,1,2006,4,Järva_k9:3,m,m,m,m,m,m,m,m,m,m,m,m,NA,NA,NA,NA,W9308,unknown,100
W0615_2006,W0615,2005,M,2005,1,WithMother,5.01,-23.17,29,44,5/1/2006,7.2458,0.659090909,2005,1,2006,4,Järva_k9:4,m,m,m,m,m,m,m,m,m,m,m,m,NA,NA,NA,NA,W9308,unknown,100
W9308_2006,W9308,2005,F,1988,18,WithCubs,4.25,-22.91,93,66,5/1/2006,5.0114,1.409090909,2005,18,2006,3,Järva,s,s,s,s,4,s,4,s,s,4,s,s,4,january-december,no,1,W8811,unknown,100
W0905_2009,W0905,2008,M,2008,1,WithMother,5.21,-22.924,28,43.5,4/21/2009,10.37,0.643678161,2008,1,2009,4,Järva_k10:1,m,m,m,m,m,m,m,m,m,m,m,m,NA,NA,NA,NA,W9308,unknown,101
W0906_2009,W0906,2008,M,2008,1,WithMother,5.02,-22.804,24,42,4/21/2009,11.67,0.571428571,2008,1,2009,4,Järva_k10:2,m,m,m,m,m,m,m,m,m,m,m,m,NA,NA,NA,NA,W9308,unknown,101
W9308_2009,W9308,2008,F,1988,21,WithCubs,4.08,-22.814,110,70,4/21/2009,13.3,1.571428571,2008,21,2009,3,Järva,s,s,s,2,s,s,2,s,s,2,s,s,2,january-december,no,1,W8811,unknown,101
W9803_1998,W9803,1997,F,1997,1,WithMother,5.23,-22.876,28,43,4/15/1998,3.6492,0.651162791,1997,1,1998,4,Nita,m,m,m,m,m,l,l,l,l,l,l,l,0,NA,NA,NA,W9310,unknown,102
W9310_1998,W9310,1997,F,1992,6,WithCubs,3.99,-22.546,90,62,4/15/1998,3.365,1.451612903,1997,6,1998,3,Sari,s,s,s,1,1,l,l,l,l,l,l,l,1,january-may,yes,1,W9308,W8807,102
W0006_2000,W0006,1999,M,1999,1,WithMother,4.73,-23.112,32,40,4/14/2000,5.3054,0.8,1999,1,2000,4,Sari_k2:1,m,m,m,m,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W9310,W0108,103
W0007_2000,W0007,1999,M,1999,1,WithMother,4.76,-23.102,38,43,4/14/2000,4.5704,0.88372093,1999,1,2000,4,Sari_k2:2,m,m,m,m,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W9310,W0108,103
W0008_2000,W0008,1999,F,1999,1,WithMother,4.65,-23.282,32,40,4/14/2000,4.1588,0.8,1999,1,2000,4,Vana,m,m,m,m,m,l,l,l,l,l,l,l,0,NA,NA,NA,W9310,W0108,103
W9310_2000,W9310,1999,F,1992,8,WithCubs,3.87,-22.902,100,60,4/14/2000,4.3156,1.666666667,1999,8,2000,3,Sari,s,s,s,3,s,l,l,l,l,l,l,l,3,january-may,yes,1,W9308,W8807,103
W0311_2003,W0311,2002,F,2002,1,WithMother,4.82,-22.516,20,40,4/16/2003,5.8346,0.5,2002,1,2003,4,Rita,m,m,m,m,m,m,m,m,l,l,l,l,0,NA,NA,NA,W9310,unknown,104
W0312_2003,W0312,2002,M,2002,1,WithMother,4.27,-22.616,24,31,4/16/2003,6.7264,0.774193548,2002,1,2003,4,Sari_k4:2,m,m,m,m,m,m,m,m,NA,NA,NA,NA,NA,NA,NA,NA,W9310,unknown,104
W9310_2003,W9310,2002,F,1992,11,WithCubs,3.2,-22.866,88,64,4/16/2003,7.8338,1.375,2002,11,2003,3,Sari,s,s,s,2,s,2,s,D,NA,NA,NA,NA,2,unknown,no,1,W9308,W8807,104
W0010_2000,W0010,1999,F,1999,1,WithMother,5.23,-23.152,30,38.5,4/15/2000,4.1392,0.779220779,1999,1,2000,4,Hirva,m,m,m,m,m,l,l,l,l,l,l,l,0,NA,NA,NA,W9403,W9810,105
W0011_2000,W0011,1999,M,1999,1,WithMother,5.21,-23.162,32,39,4/15/2000,3.7962,0.820512821,1999,1,2000,4,Grivla_k1:2,m,m,m,m,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W9403,W8607,105
W9403_2000,W9403,1999,F,1993,7,WithCubs,4.89,-22.632,102,58,4/15/2000,3.9432,1.75862069,1999,7,2000,3,Grivla,s,s,s,2,s,l,l,l,l,l,l,l,2,january-may,yes,1,W8808,W8607,105
W0215_2002,W0215,2001,M,2001,1,WithMother,5.1,-22.938,14,37,4/23/2002,5.178,0.378378378,2001,1,2002,4,Grivla_k2:1,m,m,m,m,m,m,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,W9403,unknown,106
W0216_2002,W0216,2001,M,2001,1,WithMother,4.67,-23.098,15,NA,4/23/2002,5.8542,NA,2001,1,2002,4,Grivla_k2:2,m,m,m,m,m,m,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,W9403,W0232,106
W0217_2002,W0217,2001,F,2001,1,WithMother,4.72,-22.968,10,35.5,4/23/2002,5.5112,0.281690141,2001,1,2002,4,Silina,m,m,m,m,m,m,m,l,l,l,l,l,0,NA,NA,NA,W9403,unknown,106
W9403_2002,W9403,2001,F,1993,9,WithCubs,4.47,-22.748,80,58,4/22/2002,5.6876,1.379310345,2001,9,2002,3,Grivla,s,s,s,4,s,s,l,l,l,l,l,l,4,january-june,yes,1,W8808,W8607,106
W0618_2006,W0618,2005,M,2005,1,WithMother,4.83,-23.74,21,41,5/2/2006,9.66,0.512195122,2005,1,2006,4,Kampi,m,m,m,m,m,m,m,m,m,m,m,m,NA,NA,NA,NA,W9403,unknown,107
W0619_2006,W0619,2005,M,2005,1,WithMother,4.93,-23.7,20,43,5/2/2006,7.54,0.465116279,2005,1,2006,4,Kangas,m,m,m,m,m,m,m,m,m,m,m,m,NA,NA,NA,NA,W9403,unknown,107
W0618_2007,W0618,2006,M,2005,2,WithMother,4.65,-23.258,50,50,5/4/2007,3.3454,1,2006,2,2007,4,Kampi,m,m,m,m,m,l,l,l,NA,NA,NA,NA,NA,NA,NA,NA,W9403,unknown,107
W0619_2007,W0619,2006,M,2005,2,WithMother,4.72,-23.378,42,49,5/4/2007,4.2862,0.857142857,2006,2,2007,4,Kangas,m,m,m,m,m,l,l,l,d,NA,NA,NA,NA,NA,NA,NA,W9403,unknown,107
W9403_2006,W9403,2005,F,1993,13,WithCubs,4.41,-23.25,90,62,5/2/2006,6.37,1.451612903,2005,13,2006,3,Grivla,s,s,s,s,2,2,2,s,s,2,s,s,2,january-december,no,1,W8808,W8607,107
W9403_2007,W9403,2006,F,1993,14,WithCubs,4.82,-23.038,90,61,5/4/2007,4.2666,1.475409836,2006,14,2007,3,Grivla,s,s,s,s,2,l,l,l,l,l,l,l,2,january-may,yes,2,W8808,W8607,108
W0907_2009,W0907,2008,M,2008,1,WithMother,5.04,-23.624,13,39,4/22/2009,9.76,0.333333333,2008,1,2009,4,Kosin,m,m,m,m,m,m,m,m,m,m,m,m,NA,NA,NA,NA,W9403,unknown,109
W0908_2009,W0908,2008,M,2008,1,WithMother,4.43,-23.664,14,40,4/22/2009,13,0.35,2008,1,2009,4,Sopin,m,m,m,m,m,m,m,m,m,m,m,m,NA,NA,NA,NA,W9403,unknown,109
W0909_2009,W0909,2008,M,2008,1,WithMother,4.89,-23.684,19,40,4/22/2009,10.39,0.475,2008,1,2009,4,Heiken,m,m,m,m,m,m,m,m,m,m,m,m,NA,NA,NA,NA,W9403,unknown,109
W9403_2009,W9403,2008,F,1993,16,WithCubs,4.08,-23.184,92,63,4/22/2009,8.18,1.46031746,2008,16,2009,3,Grivla,s,s,s,3,3,3,3,s,s,3,s,s,3,january-december,no,1,W8808,W8607,109
W0907_2010,W0907,2009,M,2008,2,WithMother,4.54,-23.402,27,44,4/14/2010,6.46,0.613636364,2009,2,2010,4,Kosin,m,m,m,m,m,l,l,l,d,NA,NA,NA,NA,NA,NA,NA,W9403,unknown,110
W0908_2010,W0908,2009,M,2008,2,WithMother,4.55,-23.522,33,42,4/14/2010,5.52,0.785714286,2009,2,2010,4,Sopin,m,m,m,m,m,l,l,l,l,l,l,l,NA,NA,NA,NA,W9403,unknown,110
W0909_2010,W0909,2009,M,2008,2,WithMother,4.68,-23.422,35,45,4/14/2010,6.74,0.777777778,2009,2,2010,4,Heiken,m,m,m,m,m,l,l,l,d,NA,NA,NA,NA,NA,NA,NA,W9403,unknown,110
W9403_2010,W9403,2009,F,1993,17,WithCubs,4.52,-23.082,87,57,4/14/2010,7.72,1.526315789,2009,17,2010,3,Grivla,s,s,s,3,s,l,l,l,l,l,l,l,3,january-may,yes,2,W8808,W8607,110
W1303_2013,W1303,2012,F,2012,1,WithMother,5.46,-23.246,19,40.5,4/23/2013,7.66,0.469135802,2012,1,2013,4,Lillsloga,m,m,m,m,m,l,l,l,l,l,l,l,0,NA,NA,NA,W9403,unknown,111
W1304_2013,W1304,2012,F,2012,1,WithMother,5.66,-23.206,19,39,4/23/2013,12.79,0.487179487,2012,1,2013,4,Bergsloga,m,m,m,m,m,l,l,l,l,l,l,l,0,NA,NA,NA,W9403,unknown,111
W9403_2013,W9403,2012,F,1993,20,WithCubs,5.18,-23.166,93,62.5,4/23/2013,5.69,1.488,2012,20,2013,3,Grivla,s,s,s,2,s,l,l,l,l,l,l,l,2,january-may,yes,1,W8808,W8607,111
W9913_1999,W9913,1998,F,1998,1,WithMother,4.34,-22.974,23,40,4/20/1999,4.1686,0.575,1998,1,1999,4,Strandli,m,m,m,m,m,m,l,l,l,l,l,l,0,NA,NA,NA,W9404,W9311,112
W9914_1999,W9914,1998,F,1998,1,WithMother,4.67,-22.824,22,41,4/20/1999,4.2568,0.536585366,1998,1,1999,4,Gira,m,m,m,m,m,m,l,l,l,l,l,l,0,NA,NA,NA,W9404,W9311,112
W9915_1999,W9915,1998,M,1998,1,WithMother,4.31,-22.904,26,42,4/20/1999,3.2768,0.619047619,1998,1,1999,4,Börrine_k3:3,m,m,m,m,m,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W9404,W9311,112
W9404_1999,W9404,1998,F,1993,6,WithCubs,4.05,-22.954,89,57,4/20/1999,4.3254,1.561403509,1998,6,1999,3,Börrine,s,s,s,3,s,s,l,l,l,l,l,l,3,january-june,yes,1,W9008,W9811,112
W0221_2002,W0221,2001,F,2001,1,WithMother,4.46,-23.178,23,40,4/24/2002,5.1976,0.575,2001,1,2002,4,Faksa,m,m,m,m,m,l,l,l,l,l,l,l,0,NA,NA,NA,W9404,W9311,113
W0222_2002,W0222,2001,M,2001,1,WithMother,4.42,-23.148,23,41.5,4/24/2002,6.2462,0.554216867,2001,1,2002,4,Börre,m,m,m,m,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W9404,W9505,113
W0223_2002,W0223,2001,F,2001,1,WithMother,4.7,-23.038,21,40,4/24/2002,6.0306,0.525,2001,1,2002,4,Hölja,m,m,m,m,m,l,l,l,NA,NA,NA,NA,0,NA,NA,NA,W9404,W9505,113
W9404_2002,W9404,2001,F,1993,9,WithCubs,4.11,-23.188,104,64,4/24/2002,4.2176,1.625,2001,9,2002,3,Börrine,s,s,s,3,s,l,l,l,l,l,l,l,3,january-may,yes,1,W9008,W9811,113
W0009_2000,W0009,1999,M,1999,1,WithMother,5.83,-23.072,37,39.5,4/14/2000,3.7962,0.936708861,1999,1,2000,4,Binna_k1:1,m,m,m,m,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W9502,W9916,114
W9502_2000,W9502,1999,F,1994,6,WithCubs,4.97,-22.792,104,63,4/14/2000,3.8746,1.650793651,1999,6,2000,3,Binna,s,s,s,1,s,l,l,l,l,l,l,l,1,january-may,yes,1,W9308,W8807,114
W0205_2002,W0205,2001,F,2001,1,WithMother,5.06,-23.058,18,38,4/19/2002,4.8154,0.473684211,2001,1,2002,4,Blecka,m,m,m,m,m,d,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,W9502,W0108,115
W0206_2002,W0206,2001,M,2001,1,WithMother,4.91,-22.988,21,39,4/19/2002,5.9228,0.538461538,2001,1,2002,4,Binna_k2:2,m,m,m,m,m,NA,NA,NA,NA,d,NA,NA,NA,NA,NA,NA,W9502,W0108,115
W0207_2002,W0207,2001,M,2001,1,WithMother,5.19,-22.888,26,42,4/19/2002,4.688,0.619047619,2001,1,2002,4,Binna_k2:3,m,m,m,m,m,NA,NA,NA,NA,d,NA,NA,NA,NA,NA,NA,W9502,W0108,115
W9502_2002,W9502,2001,F,1994,8,WithCubs,4.2,-23.168,88,62,4/19/2002,7.4124,1.419354839,2001,8,2002,3,Binna,s,s,s,3,s,l,l,l,l,l,l,l,3,january-may,yes,1,W9308,W8807,115
W0401_2004,W0401,2003,F,2003,1,WithMother,4.61,-23.404,21,40,4/14/2004,4.394,0.525,2003,1,2004,4,Vilma,m,m,m,m,m,l,l,l,l,l,l,l,0,NA,NA,NA,W9502,W9810,116
W0402_2004,W0402,2003,F,2003,1,WithMother,4.875,-23.334,30,42,4/14/2004,4.1245,0.714285714,2003,1,2004,4,Gnista,m,m,m,m,m,l,l,l,l,l,l,l,0,NA,NA,NA,W9502,W9810,116
W0403_2004,W0403,2003,F,2003,1,WithMother,4.83,-23.104,26,42,4/14/2004,4.0118,0.619047619,2003,1,2004,4,Romunda,m,m,m,m,m,l,d,NA,NA,NA,NA,NA,0,NA,NA,NA,W9502,unknown,116
W9502_2004,W9502,2003,F,1994,10,WithCubs,3.85,-23.464,100,64,4/14/2004,4.6194,1.5625,2003,10,2004,3,Binna,s,s,s,3,s,l,l,l,D,NA,NA,NA,3,january-may,yes,1,W9308,W8807,116
W0018_2000,W0018,1999,F,1999,1,WithMother,5.75,-22.992,27,38,4/28/2000,3.9236,0.710526316,1999,1,2000,4,Tuva,m,m,m,m,m,m,m,m,m,m,m,m,0,NA,NA,NA,W9504,unknown,117
W0019_2000,W0019,1999,F,1999,1,WithMother,5.66,-22.872,24,37,4/28/2000,3.7276,0.648648649,1999,1,2000,4,Leta,m,m,m,m,m,m,m,m,m,m,m,m,0,NA,NA,NA,W9504,unknown,117
W0020_2000,W0020,1999,F,1999,1,WithMother,5.69,-22.952,24,36,4/28/2000,4.933,0.666666667,1999,1,2000,4,Spana,m,m,m,m,m,m,m,m,m,m,m,m,0,NA,NA,NA,W9504,unknown,117
W9504_2000,W9504,1999,F,1994,6,WithCubs,4.99,-22.742,82,57,4/28/2000,4.688,1.438596491,1999,6,2000,3,Donna,s,s,s,3,s,s,s,s,s,s,3,s,3,january-december,no,1,W9308,W8807,117
W0317_2003,W0317,2002,F,2002,1,WithMother,5.11,-22.616,21,40,4/23/2003,4.1392,0.525,2002,1,2003,4,Vasta,m,m,m,m,m,l,l,l,d,NA,NA,NA,0,NA,NA,NA,W9615,W0233,118
W9615_2003,W9615,2002,F,1995,8,WithCubs,4.35,-22.586,92,58,4/23/2003,4.5802,1.586206897,2002,8,2003,3,Keiko,s,s,s,1,s,l,l,l,l,l,l,l,1,january-may,yes,1,W8905,W9409,118
W0514_2005,W0514,2004,M,2004,1,WithMother,4.61,-22.792,20,40,4/27/2005,11.56,0.5,2004,1,2005,4,Keiko_k2:1,m,m,m,m,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W9615,unknown,119
W0515_2005,W0515,2004,M,2004,1,WithMother,4.3,-23.112,27,43,4/27/2005,8.65,0.627906977,2004,1,2005,4,Keiko_k2:2,m,m,m,m,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W9615,unknown,119
W9615_2005,W9615,2004,F,1995,10,WithCubs,3.88,-23.002,95,62,4/27/2005,6.9,1.532258065,2004,10,2005,3,Keiko,s,s,s,2,s,l,l,l,l,l,l,l,2,january-may,yes,1,W8905,W9409,119
W0704_2007,W0704,2006,M,2006,1,WithMother,5.47,-23.228,26,40.5,4/16/2007,5.7268,0.641975309,2006,1,2007,4,Keiko_k3:1,m,m,m,m,m,NA,NA,NA,d,NA,NA,NA,NA,NA,NA,NA,W9615,unknown,120
W0705_2007,W0705,2006,M,2006,1,WithMother,5.18,-23.108,30,42,4/16/2007,4.8252,0.714285714,2006,1,2007,4,Keiko_k3:2,m,m,m,m,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W9615,unknown,120
W9615_2007,W9615,2006,F,1995,12,WithCubs,4.95,-23.048,106,63,4/16/2007,3.8256,1.682539683,2006,12,2007,3,Keiko,s,s,s,2,2,l,l,l,l,l,l,l,2,january-may,yes,1,W8905,W9409,120
W0910_2009,W0910,2008,M,2008,1,WithMother,4.46,-23.114,25,41,4/22/2009,13.58,0.609756098,2008,1,2009,4,Röde,m,m,m,m,m,l,l,l,l,l,l,l,NA,NA,NA,NA,W9615,unknown,121
W9615_2009,W9615,2008,F,1995,14,WithCubs,4.36,-22.854,105,63,4/22/2009,11.17,1.666666667,2008,14,2009,3,Keiko,s,s,s,1,s,l,l,l,l,l,l,l,1,january-may,yes,1,W8905,W9409,121
W1104_2011,W1104,2010,F,2010,1,WithMother,4.7,-22.51,16,39,4/20/2011,10.2,0.41025641,2010,1,2011,4,Bjura,m,m,m,m,m,NA,NA,NA,NA,c,c,c,0,NA,NA,NA,W9615,unknown,122
W1105_2011,W1105,2010,F,2010,1,WithMother,4.46,-22.52,17,38.5,4/20/2011,9.67,0.441558442,2010,1,2011,4,Nysloga,m,m,m,m,m,NA,NA,NA,NA,c,c,c,0,NA,NA,NA,W9615,unknown,122
W9615_2011,W9615,2010,F,1995,16,WithCubs,4.61,-22.26,90,58,4/20/2011,12.77,1.551724138,2010,16,2011,3,Keiko,s,s,s,2,2,NA,NA,D,NA,NA,NA,NA,2,unknown,unknown,1,W8905,W9409,122
W0308_2003,W0308,2002,M,2002,1,WithMother,4.7,-22.926,17,38,4/14/2003,10.3,0.447368421,2002,1,2003,4,Borregaard_k2:1,m,m,m,m,m,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W9804,W0108,123
W0309_2003,W0309,2002,F,2002,1,WithMother,4.82,-22.966,10,35,4/14/2003,13.43,0.285714286,2002,1,2003,4,Bornå,m,m,m,m,m,m,m,d,NA,NA,NA,NA,0,NA,NA,NA,W9804,W0108,123
W9804_2003,W9804,2002,F,1997,6,WithCubs,4.13,-22.766,64,56,4/14/2003,16.2,1.142857143,2002,6,2003,3,Borregaard,s,s,s,2,s,s,s,l,l,l,l,l,2,january-july,yes,1,W9008,W9811,123
W0502_2005,W0502,2004,M,2004,1,WithMother,5.05,-23.132,24,41,4/15/2005,6.5108,0.585365854,2004,1,2005,4,Femma_k3:1,m,m,m,m,m,m,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,W9806,W0233,124
W0503_2005,W0503,2004,F,2004,1,WithMother,4.97,-22.972,24,42,4/15/2005,5.3936,0.571428571,2004,1,2005,4,Påranäva,m,m,m,m,m,m,m,l,l,l,l,l,0,NA,NA,NA,W9806,unknown,124
W9806_2005,W9806,2004,F,1996,9,WithCubs,4.29,-23.112,94,64,4/15/2005,5.178,1.46875,2004,9,2005,3,Femma,s,s,s,2,s,s,2,l,l,l,l,l,2,january-july,yes,1,W0121,W8607,124
W0703_2007,W0703,2006,F,2006,1,WithMother,5.35,-23.298,20.5,40,4/16/2007,5.7268,0.5125,2006,1,2007,4,Hapa,m,m,m,m,m,m,l,l,l,l,l,l,0,NA,NA,NA,W9806,W0012,125
W0711_2007,W0711,2006,M,2006,1,WithMother,5.61,-23.158,24,40,4/19/2007,4.8252,0.6,2006,1,2007,4,Femma_k4:2,m,m,m,m,m,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W9806,W0012,125
W9806_2007,W9806,2006,F,1996,11,WithCubs,4.63,-23.208,91,64,4/19/2007,4.8938,1.421875,2006,11,2007,3,Femma,s,s,s,2,2,2,l,l,D,NA,NA,NA,2,january-june,yes,1,W0121,W8607,125
W0417_2004,W0417,2003,M,2003,1,WithMother,5.1,-22.884,22,38.5,4/18/2004,4.982,0.571428571,2003,1,2004,4,Bella_k1:1,m,m,m,m,m,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W9814,W0327,126
W9814_2004,W9814,2003,F,1997,7,WithCubs,3.84,-22.854,87,61,4/18/2004,3.806,1.426229508,2003,7,2004,3,Bella,s,s,s,1,s,1,1,s,s,s,s,s,1,january-december,no,1,W9308,W8807,126
W0706_2007,W0706,2006,F,2006,1,WithMother,5.24,-22.778,19,39,4/17/2007,4.6194,0.487179487,2006,1,2007,4,Brända,m,m,m,m,m,m,m,m,m,m,m,m,0,NA,NA,NA,W9814,W0327,127
W0707_2007,W0707,2006,F,2006,1,WithMother,5.12,-22.688,19,39,4/17/2007,4.3254,0.487179487,2006,1,2007,4,Broka,m,m,m,m,m,m,m,m,m,m,m,m,0,NA,NA,NA,W9814,W0327,127
W9814_2007,W9814,2006,F,1997,10,WithCubs,4.17,-22.748,85,62,4/17/2007,4.8938,1.370967742,2006,10,2007,3,Bella,s,s,s,2,2,2,2,2,2,s,s,s,2,january-december,no,1,W9308,W8807,127
W1013_2010,W1013,2009,M,2009,1,WithMother,4.36,-22.842,20,40.5,4/22/2010,6.32,0.49382716,2009,1,2010,4,Bella_k3:1,m,m,m,m,m,m,m,m,m,m,m,m,NA,NA,NA,NA,W9814,unknown,128
W1014_2010,W1014,2009,M,2009,1,WithMother,4.74,-23.272,18,42,4/22/2010,10.27,0.428571429,2009,1,2010,4,Bella_k3:2,m,m,m,m,m,m,m,m,m,m,m,m,NA,NA,NA,NA,W9814,unknown,128
W9814_2010,W9814,2009,F,1997,13,WithCubs,4.16,-23.052,86,63,4/22/2010,16.33,1.365079365,2009,13,2010,3,Bella,s,s,s,2,s,s,2,s,s,s,s,s,2,january-december,no,1,W9308,W8807,128
W0509_2005,W0509,2004,F,2004,1,WithMother,4.16,-22.812,22,43,4/17/2005,6.5206,0.511627907,2004,1,2005,4,Glya,m,m,m,m,m,m,m,m,m,m,m,m,0,NA,NA,NA,W9903,unknown,129
