bearID,sex,year,bearyear,birth,age,litterID,repro,jan,reprocat,cubsfirstcount,cubseparation,cubage,statut,weaningage,ILI,dam,sire,matlitterID,sampleID,year.sampled,C13.suess,N15,mass,headcirc,condition,Cmonth,cort
W9003,F,2000,W9003.2000,1989,11,W9003.2000,2,b,Wcubs,2,no,0,M,1.5,TW,W8802,UNKNOWN25,W8802.1989,239,2001,-22.91,5.1,112,62,1.806451613,4,3.3552
W9007,F,2001,W9007.2001,1986,15,W9007.2001,2,b,Wcubs,NA,no,0,M,1.5,TW,NA,NA,NA.1986,266,2002,-22.858,4.25,90,62,1.451612903,4,5.4328
W9007,F,2003,W9007.2003,1986,17,W9007.2003,2,b,Wcubs,2,no,0,M,1.5,TW,NA,NA,NA.1986,367,2004,-22.934,4.19,98,62,1.580645161,4,4.345
W9008,F,1995,W9008.1995,1986,9,W9008.1995,2,b,Wcubs,3,no,0,M,1.5,TW,W8811,NA,W8811.1986,41,1996,-23.45,3.26,95,60,1.583333333,4,4.6488
W9008,F,1997,W9008.1997,1986,11,W9008.1997,2,b,Wcubs,2,no,0,M,1.5,TW,W8811,NA,W8811.1986,124,1998,-23.356,3.92,102,62,1.64516129,4,3.6394
W9008,F,1999,W9008.1999,1986,13,W9008.1999,2,b,Wcubs,3,no,0,M,1.5,TW,W8811,NA,W8811.1986,833,2000,-23.252,3.92,111,61,1.819672131,4,5.42
W9008,F,2001,W9008.2001,1986,15,W9008.2001,2,b,Wcubs,2,no,0,M,1.5,TW,W8811,NA,W8811.1986,267,2002,-23.378,3.99,96,63,1.523809524,4,5.2956
W9101,F,2002,W9101.2002,1990,12,W9101.2002,2,b,Wcubs,2,no,0,M,1.5,TW,W8906,W8607,W8906.1990,324,2003,-22.856,4.6,81,61,1.327868852,4,5.9522
W9101,F,2004,W9101.2004,1990,14,W9101.2004,2,b,Wcubs,2,no,0,M,1.5,TW,W8906,W8607,W8906.1990,411,2005,-23.392,4.46,106,64,1.65625,4,3.5218
W9307,F,2001,W9307.2001,1992,9,W9307.2001,2,b,Wcubs,3,no,0,M,1.5,TW,W8906,UNKNOWN26,W8906.1992,269,2002,-23.008,4.59,89,59,1.508474576,4,6.8538
W9307,F,2003,W9307.2003,1992,11,W9307.2003,2,b,Wcubs,3,no,0,M,1.5,TW,W8906,UNKNOWN26,W8906.1992,872,2004,-23.574,4.48,110,65,1.692307692,4,9.66
W9310,F,1999,W9310.1999,1992,7,W9310.1999,2,b,Wcubs,3,no,0,M,1.5,TW,W9308,W8807,W9308.1992,220,2000,-22.902,3.87,100,60,1.666666667,4,4.3156
W9403,F,2001,W9403.2001,1993,8,W9403.2001,2,b,Wcubs,4,no,0,M,1.5,TW,W8808,W8607,W8808.1993,270,2002,-22.748,4.47,80,58,1.379310345,4,5.6876
W9404,F,2003,W9404.2003,1993,10,W9404.2003,2,b,Wcubs,3,yes,0,M,litterloss,TW,W9008,W9811,W9008.1993,370,2004,-22.924,4.38,105,63,1.666666667,6,2.728
W9502,F,2001,W9502.2001,1994,7,W9502.2001,2,b,Wcubs,3,no,0,M,1.5,TW,W9308,W8807,W9308.1994,272,2002,-23.168,4.2,88,62,1.419354839,4,7.4124
W9502,F,2003,W9502.2003,1994,9,W9502.2003,2,b,Wcubs,3,no,0,M,1.5,TW,W9308,W8807,W9308.1994,371,2004,-23.464,3.85,100,64,1.5625,4,4.6194
W9615,F,2004,W9615.2004,1995,9,W9615.2004,2,b,Wcubs,2,no,0,M,1.5,TW,W8905,W9409,W8905.1995,882,2005,-23.002,3.88,95,62,1.532258065,4,6.9
W9615,F,2006,W9615.2006,1995,11,W9615.2006,2,b,Wcubs,2,no,0,M,1.5,TW,W8905,W9409,W8905.1995,480,2007,-23.048,4.95,106,63,1.682539683,4,3.8256
W9615,F,2008,W9615.2008,1995,13,W9615.2008,2,b,Wcubs,2,no,0,M,1.5,TW,W8905,W9409,W8905.1995,729,2009,-22.854,4.36,105,63,1.666666667,4,11.17
W9615,F,2010,W9615.2010,1995,15,W9615.2010,2,b,Wcubs,2,no,0,M,unknown,TW,W8905,W9409,W8905.1995,664,2011,-22.26,4.61,90,58,1.551724138,4,12.77
